arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
1wZ-QiFR9Y4,12.16,48000.0,0.11585364,0.83761585,0.1383135765790939,41.280746,0.0435152312938212,0.0,0.0,61.0
SdU4GXJ7wc4,21.504,48000.0,0.01849918,0.24561465,0.0753179043531417,34.545135,0.034094232229177,0.0,0.0,70.0
LzJVsqFXUK8,41.737875,48000.0,0.142073,0.7795656,0.1822463870048523,33.65164,0.0684288798955405,0.0,0.0,18.0
Ht0_KbBejnQ,13.653333333333334,48000.0,0.11587987,0.916626,0.1264200210571289,36.954998,0.0288741553229898,1.0,0.0732421875,20.0
_Oa7f8RV21c,57.37652083333333,48000.0,0.17185925,1.1009907,0.1560951024293899,52.967354,0.040634166618262,1.0,0.017428731918144508,4.0
gyUk3EeT6_s,6.989208333333333,48000.0,0.057121973,0.83733326,0.0682189241051673,29.488619,0.011213349133003,0.0,0.0,48.0
n8SeuvA_ccQ,50.15510416666667,48000.0,0.1400844,1.1058629,0.1266742944717407,184.70549,0.0408535567390495,0.0,0.0,33.0
xY9ifOFW2RE,5.607625,48000.0,0.0016954249,0.019699842,0.0860628709197044,39.029133,0.0227997638426806,0.0,0.0,70.0
5WnIHDJ58p4,6.506666666666667,48000.0,0.24825549,1.1256461,0.2205448895692825,51.28982,0.0519168435454173,0.0,0.0,57.0
P_ItMhJ-mdk,22.61625,48000.0,0.16646402,1.1465055,0.1451925188302993,42.19712,0.0693799081359028,0.0,0.0,58.0
lgRkYmN_PlE,42.24870833333333,48000.0,0.12503098,1.0562975,0.1183671951293945,58.80175,0.040019338945342,0.0,0.0,61.0
2yeDNf1ts4o,35.84,48000.0,0.10062911,0.55827355,0.1802505403757095,34.760597,0.0694828141271199,0.0,0.0,18.0
UD4-f9JyT9s,10.065854166666666,48000.0,0.061615147,0.87939465,0.0700654089450836,29.487633,0.0373897229210805,4.0,0.39738306692800124,52.0
