arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,duracao_categoria
ST96RF6hgJw.mp3,411.0280416666666,48000,0.037945878,0.26605517,0.142624095082283,37.52069,0.0518574353574116,14,0.03406093643448699,>60s
RIEd8dK5xRE.mp3,49.795208333333335,48000,0.10496644,0.99788576,0.1051888316869735,28.281977,0.0386936484324801,0,0.0,45-60s
atqo1VI4B_A.mp3,36.608,48000,0.020164592,0.24211507,0.0832851603627204,30.351555,0.0508264796642877,0,0.0,35-45s
S_WPv-1xD9M.mp3,1676.9915833333334,48000,0.11125273,1.1476045,0.0969434455037117,28.022568,0.053427813385514,42,0.02504484841630342,>60s
OESmtz9AcRI.mp3,16.81125,48000,0.06852363,0.6198576,0.1105473712086677,37.409275,0.0543716808021559,0,0.0,10-25s
wubg7Y6w9So.mp3,33.854708333333335,48000,0.06285012,0.9463024,0.0664165243506431,26.682602,0.0572392079690453,1,0.029537988930638647,25-35s
-hetnZQbxkA.mp3,139.2616875,48000,0.05756031,0.9843744,0.0584740005433559,25.302336,0.0584197698854932,0,0.0,>60s
uN6zo62r858.mp3,174.01035416666667,48000,0.061776876,0.40095955,0.1540725827217102,40.36902,0.0501349971650116,1,0.005746784464573887,>60s
EdA1dfOmc8w.mp3,2085.894979166667,48000,0.04946668,0.5820446,0.0849877819418907,25.15342,0.0505610910948694,0,0.0,>60s
fxhqNOfvxqI.mp3,34.602666666666664,48000,0.06630593,1.0673095,0.0621243678033351,24.615889,0.0764197021860554,0,0.0,25-35s
3R5kit8HEiQ.mp3,94.098875,48000,0.02565854,0.40193033,0.0638382807374,29.747852,0.0554398472037236,2,0.02125423922443281,>60s
mMSLH_aYhPM.mp3,60.801458333333336,48000,0.095908,0.6873003,0.1395430713891983,36.534283,0.0526726225388089,0,0.0,>60s
7SOAhwtGLtw.mp3,370.1260833333333,48000,0.10938059,1.0806118,0.1012209802865982,24.449167,0.0564342382249639,0,0.0,>60s
7KAXkaLzeVA.mp3,4615.2910833333335,48000,0.078189395,1.142189,0.0684557408094406,18.973076,0.0320760654264284,13,0.00281672374835585,>60s
pFbmzvD5LWY.mp3,24.369354166666668,48000,0.09561735,1.0062201,0.0950262770056724,28.578495,0.0567171259573304,0,0.0,10-25s
8qThIkCPjpo.mp3,45.47629166666667,48000,0.27690488,1.2633114,0.2191897332668304,79.23854,0.0484863052225023,0,0.0,45-60s
EGIP1styF0A.mp3,28.723104166666666,48000,0.19340697,1.0815952,0.17881640791893,60.693165,0.0428797243432046,0,0.0,25-35s
lX1U83qGbDE.mp3,519.743875,48000,0.12540866,0.9166304,0.1368148624897003,27.512568,0.0382800735394091,0,0.0,>60s
8MY5EU1xsC4.mp3,173.56916666666666,48000,0.11601119,1.0458667,0.1109234914183616,31.441868,0.0440932401447182,0,0.0,>60s
tAIjTGi9D68.mp3,30.037354166666667,48000,0.041299433,0.26722798,0.1545475572347641,34.446857,0.0328188440162406,0,0.0,25-35s
S1Q5sseqWoA.mp3,61.3006875,48000,0.02702382,0.352459,0.0766722336411476,24.56667,0.0472812071787454,3,0.04893909224101279,>60s
Ay5Y3t47i0M.mp3,51.977875,48000,0.08307297,0.82088846,0.1011988520622253,27.784588,0.051395384164016,0,0.0,45-60s
ZcnUhFxb59s.mp3,20.7354375,48000,0.07346853,1.0008354,0.0734072029590606,179.11548,0.0255541389371141,0,0.0,10-25s
X8AizooD1vE.mp3,1099.4346666666668,48000,0.049923424,1.0330806,0.0483248122036457,26.322796,0.0670091866019714,64,0.058211735485873946,>60s
FobEptIIzFI.mp3,29.47775,48000,0.25141424,1.2070092,0.2082952111959457,30.478111,0.0594042544772069,0,0.0,25-35s
EMuSkcDEgqU.mp3,12.010666666666667,48000,0.08164127,0.79360235,0.1028742790222168,42.23784,0.0462528421694764,0,0.0,10-25s
0fxx_awZ0JI.mp3,35.015708333333336,48000,0.036035288,0.8377749,0.0430130921304225,22.549637,0.0438486378693268,2,0.0571172223894752,35-45s
Ywa4azYBec4.mp3,24.856979166666665,48000,0.06355464,0.52680725,0.1206411570310592,53.464027,0.0467897445436507,0,0.0,10-25s
ZnzJzMd0t00.mp3,1552.128,48000,0.016193861,0.26277342,0.0616267099976539,26.61864,0.048165802974863,39,0.025126793666501734,>60s
