n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,10,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.4605901320246663,0.8833333333333333,0.22280822694301605
10,10,0.5,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5459227695417184,0.82,0.231269970536232
10,10,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5429825286420675,0.8,-0.015279920771718025
10,10,0.5,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5134952639757726,0.825,0.2044786810874939
10,10,0.5,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.494320703338597,0.9,0.2242494821548462
20,5,0.0,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4948796349378216,0.755,0.06753485649824142
20,5,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5700752759158861,0.8208333333333333,0.005390415899455547
20,5,0.0,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4767107956097992,0.803125,0.050731759518384933
20,5,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5799396590970629,0.79,-0.049420516937971115
20,5,0.0,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5435726759997084,0.8833333333333333,0.014439377933740616
20,5,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6155510520217227,0.79375,-0.0998450443148613
20,5,0.0,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4751583484595785,0.7916666666666666,0.08540995419025421
20,5,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5624775074927265,0.805,0.007138911634683609
20,5,0.0,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5042177196029598,0.7785714285714286,0.11373092979192734
20,5,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.579978282668027,0.7863636363636364,-0.017727069556713104
20,5,0.0,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5435726759997084,0.8833333333333333,0.014439377933740616
20,5,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6141078554988468,0.9125,0.08416776359081268
20,5,0.0,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.481909119913318,0.7875,0.13022641837596893
20,5,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5953191012809806,0.78125,0.007742913439869881
20,5,0.0,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5042177196029598,0.7785714285714286,0.11373092979192734
20,5,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.4580829073691868,1.0,0.2169305831193924
20,5,0.0,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5435726759997084,0.8833333333333333,0.014439377933740616
20,5,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5533079412381952,0.9166666666666666,0.09929981827735901
20,5,0.1,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4863616637246922,0.7676470588235295,0.10424137115478516
20,5,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5415074623270923,0.7785714285714286,-0.0298595130443573
20,5,0.1,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4850892503207153,0.7666666666666667,0.10221768915653229
20,5,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5602954889006982,0.7928571428571428,-0.04003437981009483
20,5,0.1,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5395741629836321,0.8833333333333333,0.008909523487091064
20,5,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6373472041610347,0.7928571428571428,-0.10086837410926819
20,5,0.1,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4944272659975927,0.785,0.1495487540960312
20,5,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5638063303462413,0.76,-0.0057048192247748375
20,5,0.1,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4724150336294465,0.7777777777777778,0.15802088379859924
20,5,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5478250769628988,0.9,0.03798959404230118
20,5,0.1,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5395741629836321,0.8833333333333333,0.008909523487091064
20,5,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.5659922914082356,0.9166666666666666,0.12865036725997925
20,5,0.1,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.46165347341177027,0.7875,0.14897243678569794
20,5,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5972585705531743,0.87,0.017424777150154114
20,5,0.1,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4570975947956302,0.79375,0.15005803108215332
20,5,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5120800785779976,0.875,0.0813693180680275
20,5,0.1,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5395741629836321,0.8833333333333333,0.008909523487091064
20,5,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.4823329738436595,0.95,0.1757541447877884
20,5,0.5,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4459976971653915,0.95,0.09744931012392044
20,5,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.47541408776581734,0.865,0.05658285692334175
20,5,0.5,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5093558643137728,0.8375,0.19674944877624512
20,5,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.549838164220238,0.8318181818181818,0.0464157834649086
20,5,0.5,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5123454938063218,0.9,-0.0010884839575737715
20,5,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.47839288683090697,0.925,0.18978522717952728
20,5,0.5,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5095526797685553,0.8571428571428571,0.2047199159860611
20,5,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.4914308305528562,0.8125,0.05879157781600952
20,5,0.5,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4834081947871405,0.875,0.012086378410458565
20,5,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.4369771064677613,0.925,0.08392272144556046
20,5,0.5,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5123454938063218,0.9,-0.0010884839575737715
20,5,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.47839288683090697,0.925,0.18978522717952728
20,5,0.5,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4891844709388237,0.8,0.16342878341674805
20,5,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5417267611798593,0.8875,0.07446902990341187
20,5,0.5,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4834081947871405,0.875,0.012086378410458565
20,5,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5108026852359515,0.8833333333333333,0.08062448352575302
