n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette,mean_score
10,10,0.5,50,10,0.1,all-MiniLM-L6-v2,0.4667909216383011,0.8545454545454545,0.4792410433292389,0.6001924731709981
10,10,0.5,50,10,0.1,all-distilroberta-v1,0.5497858304742056,0.825,0.47458910942077637,0.6164583132983273
10,10,0.5,50,10,0.1,paraphrase-MiniLM-L6-v2,0.43289762786428043,0.775,0.49522873759269714,0.5677087884856592
10,10,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.4806331994128281,0.88,0.48521173000335693,0.6152816431387284
10,10,0.5,50,100,0.1,all-MiniLM-L6-v2,0.5279393647119341,0.875,0.7263247966766357,0.7097547204628567
10,10,0.5,50,100,0.1,all-distilroberta-v1,0.4288857473728746,0.875,0.5102335810661316,0.6047064428130021
10,10,0.5,50,100,0.1,paraphrase-MiniLM-L6-v2,0.4637143316805611,0.7375,0.7356167435646057,0.6456103584150555
10,10,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.5698414859872892,0.9,0.6524885892868042,0.7074433584246979
10,10,0.5,100,5,0.1,all-MiniLM-L6-v2,0.4635908555447887,0.7928571428571428,0.3753139078617096,0.5439206354212137
10,10,0.5,100,5,0.1,all-distilroberta-v1,0.5441244803879876,0.9,0.23811793327331543,0.5607474712204343
10,10,0.5,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4010995523465947,0.8666666666666667,0.3672659397125244,0.5450107195752619
10,10,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.4178495011535744,0.975,0.34758421778678894,0.5801445729801211
10,10,0.5,100,10,0.1,all-MiniLM-L6-v2,0.4773245849264542,0.8375,0.2554934024810791,0.5234393291358445
10,10,0.5,100,10,0.1,all-distilroberta-v1,0.5253974672073366,0.93,0.24296261370182037,0.566120026969719
10,10,0.5,100,10,0.1,paraphrase-MiniLM-L6-v2,0.5154166572995956,0.8125,0.37015724182128906,0.5660246330402949
10,10,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.4806331994128281,0.88,0.48521170020103455,0.6152816332046208
10,10,0.5,100,100,0.1,all-MiniLM-L6-v2,0.5279393647119341,0.875,0.7263247966766357,0.7097547204628567
10,10,0.5,100,100,0.1,all-distilroberta-v1,0.4842094043937329,0.8,0.4903591573238373,0.5915228539058567
10,10,0.5,100,100,0.1,paraphrase-MiniLM-L6-v2,0.4637143316805611,0.7375,0.7356167435646057,0.6456103584150555
10,10,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.4990093906780019,0.925,0.72361820936203,0.7158758666800106
10,10,0.5,150,5,0.1,all-MiniLM-L6-v2,0.4996657196662097,0.86,0.3863687813282013,0.5820115003314703
10,10,0.5,150,5,0.1,all-distilroberta-v1,0.5322149088386493,0.85,0.41582798957824707,0.5993476328056321
10,10,0.5,150,5,0.1,paraphrase-MiniLM-L6-v2,0.4010995523465947,0.8666666666666667,0.3672659397125244,0.5450107195752619
10,10,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.4178495011535744,0.975,0.34758421778678894,0.5801445729801211
10,10,0.5,150,10,0.1,all-MiniLM-L6-v2,0.5095863553735119,0.8666666666666667,0.2986380159854889,0.5582970126752226
10,10,0.5,150,10,0.1,all-distilroberta-v1,0.5152547335781289,0.9,0.37168750166893005,0.5956474117490197
10,10,0.5,150,10,0.1,paraphrase-MiniLM-L6-v2,0.50716054007532,0.8333333333333334,0.42247408628463745,0.5876559865644303
10,10,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5466987814345515,0.8833333333333333,0.5149680972099304,0.6483334039926051
10,10,0.5,150,100,0.1,all-MiniLM-L6-v2,0.5279393647119341,0.875,0.7263247966766357,0.7097547204628567
10,10,0.5,150,100,0.1,all-distilroberta-v1,0.4288857473728746,0.875,0.5102335810661316,0.6047064428130021
