arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo
1UdrvDEMCQo.mp3,33.401916666666665,48000,0.18571082,1.0784311,0.1722046136856079,40.462532,0.0381726183349297,0,0.0
GXAdEK9ZAuA.mp3,32.10160416666667,48000,0.08585772,0.7448236,0.1152725592255592,45.00029,0.0513512899709302,0,0.0
KAE1JNu-eCA.mp3,164.3856875,48000,0.007048833,0.27449432,0.0256793405860662,31.418022,0.0959303791789676,50,0.30416273314548753
LLjhsVHomPg.mp3,67.721,48000,0.09996291,1.1044027,0.090513102710247,24.893015,0.0512054678886438,2,0.02953293660755157
HahsN-lrK6s.mp3,18.0303125,48000,0.085305035,1.0145527,0.0840814188122749,24.306213,0.0655024532451212,0,0.0
XaWX0PQEkXs.mp3,145.0550625,48000,0.1879849,1.1424203,0.1645496785640716,26.074482,0.0373711632633833,0,0.0
mdT3PjYoDqw.mp3,24.38095833333333,48000,0.050312765,0.6568461,0.0765974894165992,33.307144,0.0492946194225721,4,0.16406245994568852
-HC2fND2ZoM.mp3,1715.0506666666668,48000,0.08460647,1.1876943,0.0712358951568603,25.156193,0.0400135623186653,13,0.007579950990757901
Ou1RzASAKzU.mp3,20.3406875,48000,0.073406436,0.98021233,0.0748883038759231,24.432728,0.037869065859334,0,0.0
EynhnYNmP54.mp3,13.815875,48000,0.058367003,0.65217096,0.0894964784383773,34.20217,0.0380019199701003,0,0.0
DQWjCM80PrU.mp3,1414.582875,48000,0.09086711,1.1979725,0.0758507475256919,22.085426,0.0643489982447235,7,0.004948455211576062
LDsNgfhl6Vs.mp3,14.933333333333334,48000,0.13811876,1.0382018,0.1330365240573883,33.2531,0.041850687009279,0,0.0
9PVThI6OBG0.mp3,24.3113125,48000,0.016104335,0.4213292,0.0382226891815662,21.536606,0.0149219178316885,2,0.0822662289417735
BO6_wo7ov-I.mp3,13.606895833333333,48000,0.040591925,0.29343706,0.138332650065422,39.39248,0.0472718241820141,0,0.0
gYC_g7u7J0Y.mp3,59.946666666666665,48000,0.09813226,1.08131,0.0907531231641769,25.130968,0.0368199330635118,3,0.05004448398576512
hw6nG_Wb7s0.mp3,1018.1950208333334,48000,0.05832603,0.6079134,0.0959446355700492,28.878345,0.0542531385942869,185,0.1816940725643976
uuk4g7z7fr8.mp3,51.91983333333334,48000,0.038397964,0.50051886,0.0767163187265396,32.339355,0.0539704246803101,7,0.1348232371059229
0zExQK2Lyiw.mp3,35.59620833333334,48000,0.01779027,0.38817832,0.0458301454782485,23.519608,0.0387870555441132,1,0.028092879742575575
8oLbsUN68VM.mp3,44.059875,48000,0.059390683,1.1159174,0.0532213933765888,30.155363,0.0384255240483539,0,0.0
u4y-4rBIPUQ.mp3,31.5559375,48000,0.09602285,0.6329863,0.1516981571912765,42.301735,0.045792002418469,0,0.0
J_Usd7Qa9fk.mp3,73.856,48000,0.04052113,0.97683567,0.0414820350706577,25.495193,0.0421655714124548,4,0.05415944540727903
Dhfd3Z5lvDU.mp3,70.656,48000,0.051861104,0.77717906,0.0667299255728721,22.550034,0.0442076208726415,6,0.08491847826086955
iB3mTo1S0rg.mp3,10.727625,48000,0.11497979,0.9292847,0.1237293481826782,45.989,0.0318504014972664,0,0.0
V0fFseDdkuU.mp3,364.97125,48000,0.02945411,0.588719,0.0500308461487293,20.613258,0.041501423246303,56,0.15343674330512336
CR9ElUe4ZsA.mp3,482.2784583333333,48000,0.055342514,1.0232193,0.0540866553783416,23.427929,0.0553561301878289,10,0.02073490911154975
IiMMHE3b7R4.mp3,5177.5390625,48000,0.060955778,1.1842079,0.0514738820493221,28.957642,0.043443729623554,1284,0.24799426609830624
DFyBIK2lGvQ.mp3,7251.444208333333,48000,0.04998548,0.9657904,0.0517560318112373,29.04937,0.0550044116779753,1942,0.26780872116043597
0B8Z1KLRVjY.mp3,977.931625,48000,0.11241703,1.2540252,0.0896449461579322,24.205482,0.0451202455822162,2,0.0020451327565973744
LhbgeONAbZo.mp3,29.094604166666667,48000,0.085237026,0.9979315,0.085413709282875,38.414207,0.0256773649422653,0,0.0
cIEbNudPCfk.mp3,96.50214583333332,48000,0.076786496,0.93330985,0.0822733119130134,32.256027,0.0363942221347259,20,0.20724927748800062
l9CZNZ1q3SA.mp3,81.536,48000,0.06341957,0.84766716,0.0748165994882583,23.188143,0.0300501502207325,1,0.012264521193092622
-Xu2WKBX-5k.mp3,773.4683125,48000,0.06101763,1.0966618,0.0556394234299659,27.180235,0.0499077132074593,133,0.1719527456401131
Raloljuw47Q.mp3,175.61252083333332,48000,0.031541087,0.8265173,0.0381614379584789,32.432747,0.0712926510587493,53,0.30180080411407645
tByPTCyxd0c.mp3,856.2938958333333,48000,0.042483546,0.8021445,0.0529624596238136,27.771324,0.0613646387397543,176,0.20553690836335958
nNq742Ay7M8.mp3,487.8744791666667,48000,0.08579992,1.0816752,0.0793213322758674,24.016836,0.0499348310693554,17,0.034845028231518735
y7dOI_F8yVg.mp3,74.304,48000,0.08170174,0.651531,0.1253996193408966,28.422852,0.0431007898844552,3,0.04037467700258398
16fyo62PASo.mp3,308.361,48000,0.14940257,1.2260877,0.1218530908226966,32.245373,0.040260511027059,1,0.0032429522540139643
k3r78IuOkPc.mp3,203.56266666666667,48000,0.046311714,0.7475689,0.0619497597217559,29.435993,0.0492439763721509,25,0.1228123035003144
tU3_0gCnrrs.mp3,69.09097916666667,48000,0.10655236,0.9870819,0.1079468354582786,27.566156,0.0391570206371565,1,0.014473669530543513
0C3lpoaCu7c.mp3,6.037208333333333,48000,0.23433805,1.1676363,0.2006943821907043,188.96147,0.0526964167402826,0,0.0
pVfM7pfj5fA.mp3,292.49016666666665,48000,0.026554355,0.727888,0.0364813767373561,27.764793,0.0497028502049068,85,0.29060806032795405
DMpozMca9Hc.mp3,8125.846354166667,48000,0.047413953,1.6023021,0.0295911449939012,22.888206,0.0543592153552807,2287,0.2814476056180045
Nr2KgW2-ywk.mp3,175.25333333333333,48000,0.1327281,1.0897276,0.1217993348836898,24.231665,0.0576762353268973,2,0.011412051125989045
sJ3wAEuHiJY.mp3,3090.158020833333,48000,0.05272498,1.1598854,0.0454570576548576,26.226246,0.0647159783845438,451,0.14594722889879183
